Rep,Constituency,State,Question,Requires Attention,Categories
Ali Anak Biju,Saratok,Sarawak," minta Menteri Sumber Asli, Alam Sekitar dan  Perubahan Iklim menyatakan:   (a) langkah-langkah yang akan diambil kementerian dalam proses penyerahan kuasa bekalan elektrik kepada Kerajaan Negeri Sabah dan adakah ianya melibatkan implikasi kewangan terhadap Kerajaan Persekutuan; dan   (b) berapa lama tempoh masa yang diperlukan sebelum keseluruhan proses tersebut selesai.",No,Energy Transition
Ahmad Amzad Bin Mohamed @ Hashim,Kuala Terengganu,Terengganu," minta  Menteri Sains, Teknologi dan Inovasi menyatakan selaras dengan Dasar Bioteknologi Negara 2.0 yang telah dilancarkan pada tahun lepas, bagaimana perancangan kerajaan agar pelaksanaan dasar ini dapat memperkukuh ekosistem bioteknologi sedia ada bagi  menyelesaikan cabaran negara seperti sekuriti makanan.",No,Food Security
Rodziah Binti Ismail,Ampang,Selangor,"SOALAN   Puan Rodziah binti Ismail [ Ampang ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status terkini pencapaian kesemua inisiatif dan program menangani perubahan iklim dan pemanasan global yang Malaysia telah dan sedang laksanakan serta cadangan pelbagai inisiatif baharu secara komprehensif mencakupi semua bidang, industri dan sektor ekonomi, memenuhi standard dan amalan terbaik global.",No,Climate Change
Shahidan Bin Kassim,Arau,Perlis,"SOALAN   Dato' Seri Dr. Shahidan bin Kasim [ Arau ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan status projek naik taraf sistem paip pembetungan di Sungai Bunus, Kuala Lumpur yang telah melalui fasa lanjutan projek sebanyak tiga kali sejak tahun 2014 hingga menyebabkan penduduk di kawasan terlibat khususnya di kawasan Ulu Kelang dan Gombak menghadapi kesukaran setiap hari, iaitu kesesakan dan kerosakan jalan raya, bekalan air terputus dan keselamatan pengguna jalan raya sekitarnya.",No,Water;Transportation
Shahidan Bin Kassim,Arau,Perlis,SOALAN Dato' Seri Dr. Shahidan Bin Kasim [ Arau ] minta MENTERI PENGANGKUTAN menyatakan apakah inisiatif pihak Kementerian untuk memperkasakan pengangkutan awam untuk mengatasi isu kesesakan lalu lintas yang semakin berleluasa terutamanya semasa waktu puncak yang menyebabkan golongan pekerja kehilangan banyak masa untuk ke pejabat dan pulang dari pejabat. 1,No,Transportation
Shahidan Bin Kassim,Arau,Perlis,"SOALAN Dato' Seri Dr. Shahidan bin Kasim [ Arau ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah status terkini projek tebatan banjir yang diteruskan melalui kaedah ‘fast- track’ tender terhad, mengambil kira kepentingan projek ini untuk dilaksanakan segera bagi mengurangkan impak bencana atau menanggung kerugian yang lebih besar.",No,Climate Disaster;Flood
Wee Ka Siong,Ayer Hitam,Johor,"Tuan Yang di-Pertua, seperti kita sedia maklum, negara kita kembali dihujani dengan episod banjir khasnya di negeri Johor ibarat bencana yang terpaksa kita hadapi saban tahun. Saya mengamati data yang dikeluarkan oleh Ketua Pengarah Jabatan Pengairan dan Saliran (JPS) baru-baru ini bahawa hujan lebat yang direkodkan di Stesen Air Panas, Segamat dalam tempoh bermula 28 Februari hingga 3 Mac sebanyak 731 milimeter adalah tertinggi yang pernah dicerap jika dibandingkan dengan rekod hujan bulanan tertinggi pada Disember 1991 dan Disember 2006. Malah, Stesen Hujan Empangan Bekok yang berada di kawasan saya pula mencatatkan bacaan kumulatif hujan sebanyak 322mm hujan dalam tempoh 24 jam pada 28 Februari hingga 1 Mac lepas dan taburan hujan yang tinggi tersebut telah menyebabkan pelepasan air dengan mengakibatkan kawasan seperti Pekan Yong Peng, Ladang Chaah, Jalan Yong Peng-Segamat, Kampung Haji Kamisan dan Sungai Temehil terkesan dengan begitu teruk sekali.  Oleh yang demikian, saya merasakan sudah tiba masanya di bawah Kerajaan Perpaduan, isu perubahan iklim di negara ini memerlukan reformasi dasar secara menyeluruh bagi membendung atau mengurangkan bencana banjir ini daripada terus menjejaskan infrastruktur, merencatkan usaha pembangunan serta memberi implikasi buruk kepada mata pencarian rakyat. Justeru, saya ingin membangkitkan pertanyaan-pertanyaan berikut untuk pencerahan dari pihak kementerian: (i) apakah kesediaan pihak kementerian untuk melihat dan menghalusi semula beberapa Standard Operating Procedure (SOP) yang terdapat dalam Manual Operation and Maintainance (O&M) dan juga struktur (designation) bagi setiap empangan yang terdapat di Malaysia khususnya di negeri Johor?; (ii) apakah pihak kementerian akan mengkaji semula fungsi empangan untuk menampung fungsi yang lebih besar dan seterusnya menghindar daripada pelepasan air yang mengakibatkan kerosakan harta benda dan tanaman yang ditenggelami air?; (iii) sejauh manakah pihak kementerian bersetuju peningkatan gas rumah hijau dan kekurangan langkah tebatan banjir merupakan antara faktor pendorong mengapa banjir besar kerap berlaku di negeri Johor ini dan apakah pelan mitigasi dan adaptasi berkeupayaan untuk mengawal faktor pendorong ini?; dan (iv) apakah bentuk reformasi dasar yang akan dilaksanakan pihak kementerian untuk membuktikan kesungguhan dan keseriusan Kerajaan Perpaduan terhadap isu perubahan iklim di Malaysia secara jangka masa pendek, sederhana dan panjang? Sekian, terima kasih.",No,Climate Change;Climate Disaster;Flood
Mohd Syahir Bin Che Sulaiman,Bachok,Kelantan,"SOALAN Tuan Mohd Syahir bin Che Sulaiman [ Bachok ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan beberapa kesan perubahan iklim terhadap ekonomi Malaysia dan sejauh mana Kerajaan berjaya menanganinya.",No,Climate Change
Tan Hong Pin,Bakri,Johor,"SOALAN YB TUAN TAN HONG PIN [ BAKRI ] minta MENTERI PEMBANGUNAN KERAJAAN TEMPATAN menyatakan status terkini dan kos bagi projek pembinaan insinerator atau selalunya dijenamakan semula sebagai loji rawatan termal (WTE) di Bukit Payong, Johor. Bilakah kemudahan pengurusan sisa pepejal di Bukit Payong boleh mula beroperasi.",Yes,Waste;Energy Transition
Tan Hong Pin,Bakri,Johor,SOALAN Tuan Tan Hong Pin [ Bakri ] minta MENTERI PENGANGKUTAN menyatakan peruntukan Kementerian untuk membantu operasi van- hailing seperti MOBI dan KUMPOOL bagi meningkatkan liputan pengangkutan awam.,No,Transportation
Tan Hong Pin,Bakri,Johor,SOALAN Tuan Tan Hong Pin [ Bakri ] minta MENTERI PENGANGKUTAN menyatakan berapa kali sesi libat urus diadakan antara Agensi Pengangkutan Awam Darat (APAD) dan Perbadanan Pengangkutan Johor (PAJ) untuk meningkatkan efisiensi perkhidmatan bas berhenti- henti di Johor. Apakah penghasilan sesi libat urus antara dua agensi tersebut untuk menyelaras laluan MyBas dan Bas Muafakat Johor.,No,Transportation
Tan Hong Pin,Bakri,Johor,"SOALAN YB TUAN TAN HONG PIN [ BAKRI ] minta MENTERI PEMBANGUNAN KERAJAAN TEMPATAN menyatakan apakah keputusan Majlis Perancang Fizikal Negara yang diadakan pada 17 April 2023 tentang Projek Pembangunan Maharani Energy Gateway yang melibatkan penambakan tiga pulau buatan manusia seluas 1,295 hektar.",No,Energy Transition;Development
Tan Hong Pin,Bakri,Johor,"SOALAN   TUAN TAN HONG PIN [ BAKRI ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan jumlah gangguan bekalan elektrik dan air mengikut pecahan bulan pada tahun 2020, 2021 dan 2022.",No,Water;Energy Transition
Muhammad Bakhtiar Bin Wan Chik,Balik Pulau,Pulau Pinang,"SOALAN Dato' Muhammad Bakhtiar bin Wan Chik [ Balik Pulau ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan inisiatif yang bakal dilaksanakan oleh pihak Kementerian untuk pembangunan kelestarian alam sekitar selaras dengan Matlamat Pembangunan Lestari (SDG).",No,Environment
Muhammad Bakhtiar Bin Wan Chik,Balik Pulau,Pulau Pinang,"SOALAN Dato' Muhammad Bakhtiar bin Wan Chik [ Balik Pulau ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan tahap keyakinan Kerajaan terhadap keupayaan pengurusan sungai di Kuala Lumpur bagi menangani permasalahan banjir dan nyatakan peruntukan penyelenggaraan sungai di Wilayah Persekutuan bagi tempoh 2017 hingga 2022 serta langkah-langkah pencegahan jangka pendek dan jangka panjang.",No,Flood
Hassan Bin Saad,Baling,Kedah,"SOALAN   TUAN HASSAN BIN SAAD [ BALING ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan rancangan Kementerian untuk menjadi pengantara dalam menyelesaikan pengenaan caj sumber air mentah oleh Kerajaan Negeri Kedah kepada Pulau Pinang.",No,Water
Hassan Bin Saad,Baling,Kedah,"SOALAN Tuan Hassan bin Saad [ Baling ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan senarai tujuh projek Rancangan Tebatan Banjir (RTB) di negeri Kedah sebagaimana yang diumumkan dalam Rancangan Malaysia Ke-12 (RMK-12) serta status terkini kemajuan projek tersebut setakat ini.",No,Flood
Hassan Bin Saad,Baling,Kedah,SOALAN TUAN HASSAN BIN SAAD [ BALING ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan cadangan mempertimbangkan pemberian pampasan pengekalan tanah sawah padi oleh negeri-negeri sebagai usaha mengekalkan kelestarian tanah sawah padi selaras dengan strategi yang digariskan dalam Dasar Agromakanan Negara 2021-2030 (DAN 2.0).,No,Food Security
Wan Azizah Wan Ismail,Bandar Tun Razak,Kuala Lumpur,"SOALAN Dato' Seri Dr. Wan Azizah Wan Ismail [ Bandar Tun Razak ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan langkah-langkah yang akan diambil bagi menyelesaikan masalah kekurangan bekalan air di seluruh negara berikutan perubahan iklim dan ramalan musim kemarau berpanjangan berikutan fenomena El Nino.",No,Climate Change;Water
Syahredzan Bin Johan,Bangi,Selangor,"SOALAN TUAN SYAHREDZAN BIN JOHAN [BANGI] minta MENTERI KERJA RAYA menyatakan tindakan yang diambil untuk menangani masalah kekerapan banjir kilat akibat sistem saliran Lebuhraya Lingkaran Penyuraian Trafik Kajang (Kajang SILK) di tempat-tempat berikut:- (a) taman-taman sekitar Jalan Reko seperti Taman Bangi; dan (b) Terowong Twin Palms, Bandar Sungai Long.",No,Transportation;Flood
Mohamad Shafizan Kepli,Batang Lupar,Sarawak,"SOALAN Tuan Mohamad Shafizan Haji Kepli [ Batang Lupar ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah terdapat usaha untuk memelihara, memulihara dan mempromosikan Taman Negara Maludam yang merupakan hutan paya gambut terbesar di Sarawak.",No,Biodiversity;Environment
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN   Tuan Chow Kon Yeow [ Batu Kawan ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan bilakah Rancangan Tebatan Banjir (RTB) Sungai Pinang Fasa 1 akan bermula, dan juga RTB Sungai Pinang Fasa 2 yang juga perlu dilaksanakan bagi penyelesaian banjir secara keseluruhan di negeri Pulau Pinang.",No,Flood
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN TUAN CHOW KON YEOW [ BATU KAWAN ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan perancangan dalam membangunkan industri akuakultur dan pertanian bandar (urban farming) dalam negara. Perincikan jumlah pengusaha, bantuan telah dan yang akan disalurkan (termasuk kerugian akibat bencana) serta nyatakan juga sumbangan sektor berkaitan mengikut pecahan negeri kepada pembangunan negara sejak tahun 2018.",No,Climate Disaster;Food Security
Chow Kon Yeow,Batu Kawan,Pulau Pinang,SOALAN TUAN CHOW KON YEOW [ BATU KAWAN ] minta MENTERI PENGANGKUTAN menyatakan apakah langkah-langkah diambil pihak Kementerian dalam memastikan kerja-kerja menaik taraf Lapangan Terbang Antarabangsa Pulau Pinang (PIA) turut mengambil kira keperluan mitigasi banjir bagi menampung aliran Sungai Tiram dan Sungai Permatang Damar Laut yang berada di dalam kawasan lapangan terbang.,No,Development;Flood
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN Tuan Chow Kon Yeow [ Batu Kawan ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perancangan Kerajaan bagi menambah baik penarafan Dasar Iklim (Climate Policy) dan Penggunaan Tenaga (Energy Use) dalam negara. Apakah usaha dalam membantu negeri-negeri menangani krisis iklim khasnya penyesuaian iklim (adaptation) dan mitigasi (mitigation) termasuk tahap kesediaan dalam menghadapi cuaca ekstrem yang secara tidak langsung bakal menjejaskan kesihatan awam, tahap pengeluaran makanan serta bekalan air secara keseluruhan.",No,Climate Change;Climate Disaster;Water;Energy Transition;Food Security
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN Tuan Chow Kon Yeow [ Batu Kawan ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perkembangan terkini pelaksanaan Skim Penyaluran Air Mentah Sungai Perak (SPRWTS) yang telah sekian lama tertangguh :- a) adakah sebarang inisiatif perbincangan telah diadakan dengan Kerajaan Negeri Perak sebagaimana dinyatakan sebelum ini, jika tidak, bilakah ia akan dilaksanakan; dan b) inisiatif yang bakal diambil oleh Kerajaan Persekutuan dalam memastikan pembekalan air terawat ke negeri-negeri utara Semenanjung Malaysia terjamin.",No,Water
Chow Kon Yeow,Batu Kawan,Pulau Pinang,"SOALAN Tuan Chow Kon Yeow [ Batu Kawan ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan sama ada Kementerian akan memulangkan baki daripada geran RM1.2 bilion hasil Penstrukturan Semula Air di Pulau Pinang antara Kerajaan Negeri dan Kerajaan Persekutuan pada 2011 bagi projek pembesaran Empangan Mengkuang. Jika tidak, wajarkah ia digunakan untuk projek takungan air pinggiran (TAP) hulu muka sauk Lahar Tiang, Sungai Muda, menaik taraf rumah pam dan pemasangan paip air mentah dari Sungai Muda ke Empangan Mengkuang sebagai saluran tambahan. Jika tidak, perincikan sebabnya.",No,Water
Onn Bin Abu Bakar,Batu Pahat,Johor,"SOALAN Tuan Onn bin Abu Bakar [ Batu Pahat ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan Program Transformasi Sektor Air 2040 menyasarkan penggunaan air bawah tanah sebanyak 20%. Sehingga kini apakah usaha untuk mencapai sasaran tersebut.",No,Water
Onn Bin Abu Bakar,Batu Pahat,Johor," minta Menteri Perladangan dan  Komoditi menyatakan industri pemprosesan minyak sawit adalah industri yang penting kepada negara. Kebanyakan negara maju kini berada dalam fasa IR4.0. Akan tetapi dalam industri sawit di Malaysia di peringkat harvest dan milling dianggarkan berada dalam IR1.0, sementara di peringkat refining kita berada dalam IR3.0. Apakah langkah kementerian untuk meningkatkan kecekapan industri pemprosesan sawit ke tahap IR4.0.",No,Food Security;Development
Ronald Kiandee,Beluran,Sabah,"SOALAN   Datuk Seri Dr. Ronald Kiandee [ Beluran ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah langkah-langkah Kementerian berdepan dengan fenomena El Nino yang dijangka berlarutan hingga bulan September. Sejauh mana jangkaan implikasi fenomena ini terhadap kesihatan awam dan sekuriti makanan di negara ini.",No,Climate Change;Food Security
Ronald Kiandee,Beluran,Sabah," minta Menteri Pertanian ‘dan  Keterjaminan Makanan menyatakan kesan perubahan cuaca, ancaman bencana alam, serangan penyakit dan perosak terhadap pengeluaran bahan makanan di negara ini sepanjang dua tahun lalu serta langkah mitigasi yang telah diambil untuk mengurangkan impaknya terhadap sekuriti makanan negara.",No,Food Security
Ronald Kiandee,Beluran,Sabah,SOALAN DATUK SERI DR. RONALD KIANDEE (BELURAN) minta MENTERI KEMAJUAN DESA DAN WILAYAH menyatakan tindakan Kementerian untuk membaik pulih jambatan gantung Kg. Berayong ke Kg. Ansuan yang musnah akibat banjir baru-baru ini.,No,Climate Disaster;Flood
Young Syefura Binti Othman,Bentong,Pahang,"Terima kasih, Tuan Yang di- Pertua. Pada 24 Mei 2023, telah terjadi satu kes kematian seorang warga emas di Taman Saga Bentong ketika operasi menangkap anjing liar dijalankan di kawasan tersebut. Kes ini adalah yang pertama dilaporkan ketika operasi menangkap anjing berjalan. Namun kes-kes pergelutan antara penguat kuasa dengan individu yang menjaga dan memberi makan anjing liar kerap tular di media sosial. Ada juga yang mendakwa anjing peliharaan mereka ditangkap sewaktu operasi tangkapan anjing liar oleh pihak berkuasa tempatan (PBT). Isu ini menimbulkan kemarahan orang ramai terutamanya pencinta haiwan. Negara kita juga mempunyai masalah seperti kucing terbiar dan burung- burung liar seperti gagak dan merpati yang serius. Walaupun kucing terbiar tidak memberikan ancaman kepada orang ramai namun pembiakan kucing-kucing terbiar ini sedikit sebanyak mengganggu. Burung gagak dan merpati yang banyak pula menyebabkan kawasan bandar dan pekan terutamanya di kawasan yang mempunyai pokok atau bangunan yang boleh dijadikan sarang menjadi kotor dengan najis haiwan, selain turut mengancam kesihatan orang ramai. Oleh yang demikian, Bentong ingin mengemukakan beberapa soalan kepada pihak kementerian berkaitan hal ini: (i) apakah dan adakah terdapat prosedur yang jelas untuk prosedur operasi tangkapan anjing liar yang telah dikeluarkan bagi rujukan pihak PBT?; (ii) adakah kementerian bercadang untuk menggubal undang- undang baharu yang lebih berperikemanusiaan berkaitan dengan prosedur tangkapan anjing liar?;  (iii) adakah PBT akan menangkap setiap anjing yang berkeliaran ketika operasi walaupun anjing berkenaan mempunyai kolar atau lesen?; (iv) apakah yang akan terjadi kepada anjing yang telah ditangkap oleh PBT? Adakah anjing yang ditangkap akan dilupuskan?; (v) berapakah jumlah anjing yang telah ditangkap di seluruh negara sejak tiga tahun lalu?; (vi) adakah kementerian akan memperkenalkan dan memperluas kaedah ‘trap and neuter’ kepada PBT di seluruh negara bagi membendung pembiakan anjing liar dan juga kucing terbiar, seperti yang diamalkan oleh Majlis Bandar Raya Pulau Pinang terhadap anjing liar?; (vii) adakah kementerian akan memperuntukkan bajet untuk setiap PBT di seluruh negara untuk tujuan pengurusan haiwan ini?; (viii) adakah kementerian akan mengenakan hukuman kepada pemilik anjing dan kucing peliharaan yang meninggalkan/ membuang anjing dan kucing mereka sehingga menyebabkan haiwan ini menjadi sebahagian daripada kawanan anjing liar dan kucing terbiar?; (ix) adakah PBT dibenarkan untuk mengupah kontraktor untuk tujuan operasi tangkapan anjing liar ini? Apakah kriteria lantikan kontraktor dan adakah penguat kuasa turut hadir sewaktu operasi tangkapan?; (x) apakah rancangan kementerian secara khusus bagi membendung masalah ini secara keseluruhan bagi menjadikan bandar-bandar dan pekan-pekan tempat yang bersih tanpa ancaman dan kehadiran haiwan-haiwan liar dan terbiar? Bentong memohon respon daripada pihak kementerian. Terima kasih. Dr. Hajah Halimah Ali [Kapar]: Terima kasih Yang Berhormat Bentong.  Sila Yang Berhormat Menteri menjawab.",No,Biodiversity;Environment
Young Syefura Binti Othman,Bentong,Pahang,"Terima kasih, Tuan Yang di- Pertua. Seterusnya, Tuan Yang di-Pertua, Simpang Pelangai adalah salah satu kawasan yang terletak di dalam DUN Pelangai di Parlimen Bentong yang kedudukannya agak jauh dan bersempadan dengan Kuala Pilah, Negeri Sembilan. Simpang Pelangai adalah satu kawasan yang agak jauh ketinggalan dari segi agihan pembangunan. Oleh itu keadaan infrastruktur di Simpang Pelangai dan kawasan sekitarnya agak daif. Ini termasuklah dengan jalan utama keluar masuk ke kawasan Simpang Pelangai. Keadaan jalan tersebut tidak diselenggarakan dengan baik dan hanya terdapat satu jalan sahaja untuk ke Simpang Pelangai iaitu melalui Jalan Karak-Kuala Pilah. Jalan ini pula akan melalui beberapa buah kawasan termasuklah kawasan Telemong. Di Telemong terdapat sebuah sungai yang merentasi kawasan tersebut yang dipanggil Sungai Telemong, yang mana apabila hari hujan lebat berlaku, sungai ini akan melimpahi kawasan Jalan Karak-Kuala Pilah ini dan menyebabkan banjir kilat sehingga tiada kenderaan ringan, dan kadang-kala kenderaan berat juga tidak boleh melalui kawasan ini kerana arus yang terlalu deras. Oleh itu apabila kejadian ini berlaku, penduduk di kawasan Simpang Pelangai dan kawasan berdekatan dengannya terputus hubungan bahkan anggota penyelamat juga tidak dapat pergi ke kawasan Simpang Pelangai. Oleh itu, pembinaan Lebuh Raya Lingkaran Tengah Utama Pakej 6 yang bermula dari Chinta Manis sehingga ke Simpang Pelangai adalah satu keperluan yang paling penting untuk penduduk di Simpang Pelangai dan kawasan yang berdekatan dengannya. Oleh yang demikian, Bentong ingin bertanya kepada pihak kementerian, bilakah pembinaan lebuh raya ini akan dimulakan dan bilakah ia dijangka akan siap? Adakah terdapat kebarangkalian pembinaan lebuh raya ini akan disegerakan kerana keadaan dan keperluan kawasan Simpang Pelangai yang begitu mendesak untuk mempunyai sebuah kemudahan jalan dan akses lain bagi menghubungkan penduduk dengan kawasan luar serta sebagai satu keperluan jika berlaku hal-hal kecemasan. Bentong juga difahamkan kerja-kerja pembinaan lebuh raya ini telah lambat daripada jadual yang sepatutnya. Oleh itu Bentong memohon pihak kementerian mengemukakan sebab mengapakah pembinaan lebuh raya ini tidak mengikut jadual yang sebenarnya. Adakah kerana masalah berkaitan dengan peruntukan atau masalah-masalah yang lain? Sekian, terima kasih.",No,Climate Disaster;Transportation;Flood
Che Mohamad Zulkifly Bin Jusoh,Besut,Terengganu,SOALAN DATUK CHE MOHAMAD ZULKIFLY BIN JUSOH [ BESUT ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan kenapa fungsi sebenar Empangan Paya Peda di Besut untuk membekalkan pengairan air bagi tanaman padi dua (2) kali setahun bagi kawasan seluas 9000 hektar tidak digunakan sepenuhnya kerana setakat ini hanya melibatkan kawasan padi 1063 hektar sahaja.,No,Food Security
Che Mohamad Zulkifly Bin Jusoh,Besut,Terengganu,"SOALAN  DATUK CHE MOHAMAD ZULKIFLY BIN JUSOH [BESUT] minta MENTERI PELANCONGAN, SENI DAN BUDAYA menyatakan adakah Kerajaan akan menyediakan peruntukan bagi menaik taraf pusat pelancongan Hutan Lipur La Hot Spring memandangkan ia menjadi tumpuan pengunjung bagi memberi pilihan terutama kepada para belia dan kanak-kanak.",No,Development;Environment
Syerleena binti Abdul Rashid,Bukit Bendera,Pulau Pinang,"SOALAN PUAN SYERLEENA BINTI ABDUL RASHID [ BUKIT BENDERA ] minta MENTERI KEWANGAN menyatakan sejauh manakah pembentukan jawatankuasa bersama Bank Negara Malaysia, Suruhanjaya Sekuriti Malaysia dan Bursa Malaysia mampu memudahkan peralihan hijau sektor kewangan Perubahan Iklim (JC3) dan apakah langkah-langkah yang akan diambil oleh Kementerian untuk menyokong inisiatif ini.",No,Climate Change
Fong Kui Lun,Bukit Bintang,Kuala Lumpur,SOALAN TUAN FONG KUI LUN [BUKIT BINTANG] minta PERDANA MENTERI menyatakan apakah tindakan DBKL ke atas rumah-rumah sampah di setiap perumahan awamnya yang rosak dan tidak berfungsi yang merugikan DBKL dan ketidakcekapan kontraktor pembersihan yang dilantik untuk menyenggara kawasan perumahan.,No,Waste
Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,Bukit Gantang,Perak,"SOALAN DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL [ BUKIT GANTANG ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan perancangan yang akan dijalankan terhadap lombong-lombong terbiar yang terdapat di Parlimen Bukit Gantang bagi memaksimumkan penggunaannya. Sebagai contoh satu lombong di kawasan Kurnia Jaya dan Batu 14 Trong yang terbiar dan perlukan pembersihan dan boleh dijadikan sebagai kawasan takungan air hujan.",No,Water;Development;Flood
Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,Bukit Gantang,Perak,"SOALAN DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL [BUKIT GANTANG] minta MENTERI KERJA RAYA menyatakan apakah perancangan dan langkah-langkah penambahbaikan gegelung Sungai Malai, Kamunting, Mukim Taiping yang kecil dan tidak dapat menampung saliran air sungai sehingga boleh menyebabkan banjir ke kawasan penampatan dalam Parlimen Bukit Gantang.",No,Flood
Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,Bukit Gantang,Perak,"SOALAN DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL (BUKIT GANTANG) minta MENTERI KEMAJUAN DESA DAN WILAYAH menyatakan jumlah peruntukan yang disalurkan kepada perkampungan Melayu bagi penyediaan kemudahan asas seperti jalan perhubungan desa, sistem perparitan, lampu jalan solar dan ameniti sosial dalam Parlimen Bukit Gantang sejurus selepas Belanjawan 2023 diluluskan.",No,Energy Transition;Transportation;Flood
Syed Abu Hussin Bin Hafiz Syed Abdul Fasal,Bukit Gantang,Perak,"SOALAN DATO' SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL [ BUKIT GANTANG ] minta MENTERI PERTANIAN DAN KETERJAMINAN MAKANAN menyatakan :- (a) apakah usaha Kementerian untuk memastikan supaya semua nelayan di Malaysia mendaftar dengan persatuan nelayan, agar manfaat dari Kerajaan dan bantuan dapat disalurkan secara menyeluruh terutama mereka yang telah menceburi bidang ini melebihi 10 tahun; dan (b) apakah jenis program dan bantuan yang disediakan kepada para petani dan penternak mengambil kira kenaikan kos input tanaman seperti baja, racun, peralatan pertanian dan dedak ternakan yang berpotensi supaya tidak menjejaskan margin keuntungan mereka.",No,Food Security;Fishing
Tan Kok Wai,Cheras,Kuala Lumpur,SOALAN YB TUAN TAN KOK WAI [ CHERAS ] minta MENTERI PEMBANGUNAN KERAJAAN TEMPATAN menyatakan peruntukan persekutuan dari tahun 2016 hingga 2023:- (a) projek-projek pembinaan loji waste to energy; dan (b) pelaksanaan usaha 3R dan zero waste management di seluruh Negara.,No,Waste;Energy Transition;Environment
Tan Kok Wai,Cheras,Kuala Lumpur," minta Menteri Sumber Asli, Alam Sekitar dan  Perubahan Iklim menyatakan langkah-langkah segera dan jangka masa panjang yang mengambil kira kesan daripada perubahan iklim dan aktiviti buatan manusia yang akan dilaksanakan kementerian untuk mengelakkan bencana banjir besar dari berulang.",No,Climate Change;Climate Disaster;Flood
Gobind Singh Deo,Damansara,Selangor,"SOALAN Tuan Gobind Singh Deo [ Damansara ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan apakah rancangan Kerajaan untuk menghadapi cabaran-cabaran perubahan iklim. Nyatakan masalah-masalah utama yang berkaitan dan apakah langkah-langkah yang dicadangkan untuk mengatasinya.",No,Climate Change
Gobind Singh Deo,Damansara,Selangor,SOALAN TUAN GOBIND SINGH DEO [ DAMANSARA ] minta MENTERI PENGANGKUTAN menyatakan perancangan dan langkah-langkah yang akan diambil oleh Kerajaan untuk menyelesaikan masalah pengangkutan awam di kawasan-kawasan luar bandar dalam jangka masa 5 tahun.,No,Transportation
Fathul Huzir Bin Ayob,Gerik,Perak,"SOALAN Tuan Fathul Huzir bin Ayob [ Gerik ] minta MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM menyatakan sejauh manakah keberkesanan Program-program Penanaman Semula Hutan di kawasan berstatus 'Kawasan Pembalakan' terutamanya di kawasan Parlimen Gerik.",No,Biodiversity;Deforestation;Environment
